字詞名,注音一式
毛遂自薦,ㄇㄠˊ　ㄙㄨㄟˋ　ㄗˋ　ㄐㄧㄢˋ
毛茸茸,ㄇㄠˊ　ㄖㄨㄥˊ　ㄖㄨㄥˊ
毛手毛腳,ㄇㄠˊ　ㄕㄡˇ　ㄇㄠˊ　ㄐㄧㄠˇ
毛細管現象,ㄇㄠˊ　ㄒㄧˋ　ㄍㄨㄢˇ　ㄒㄧㄢˋ　ㄒㄧㄤˋ
毛細管,ㄇㄠˊ　ㄒㄧˋ　ㄍㄨㄢˇ
毛骨悚然,ㄇㄠˊ　ㄍㄨˇ　ㄙㄨㄥˇ　ㄖㄢˊ
毛毛蟲,ㄇㄠˊ　ㄇㄠˊ　ㄔㄨㄥˊ
毛毛雨,ㄇㄠˊ　ㄇㄠˊ　ㄩˇ
貓頭鷹,ㄇㄠ　ㄊㄡˊ　ㄧㄥ
鎂光燈,ㄇㄟˇ　ㄍㄨㄤ　ㄉㄥ
美容師,ㄇㄟˇ　ㄖㄨㄥˊ　ㄕ
美容院,ㄇㄟˇ　ㄖㄨㄥˊ　ㄩㄢˋ
美人魚,ㄇㄟˇ　ㄖㄣˊ　ㄩˊ
美人胚子,ㄇㄟˇ　ㄖㄣˊ　ㄆㄟ　˙ㄗ
美人計,ㄇㄟˇ　ㄖㄣˊ　ㄐㄧˋ
美術館,ㄇㄟˇ　ㄕㄨˋ　ㄍㄨㄢˇ
美式足球,ㄇㄟˇ　ㄕˋ　ㄗㄨˊ　ㄑㄧㄡˊ
美中不足,ㄇㄟˇ　ㄓㄨㄥ　ㄅㄨˋ　ㄗㄨˊ
美國總統報復權,ㄇㄟˇ　ㄍㄨㄛˊ　ㄗㄨㄥˇ　ㄊㄨㄥˇ　ㄅㄠˋ　ㄈㄨˋ　ㄑㄩㄢˊ
美國之音,ㄇㄟˇ　ㄍㄨㄛˊ　ㄓ　ㄧㄣ
美輪美奐,ㄇㄟˇ　ㄌㄨㄣˊ　ㄇㄟˇ　ㄏㄨㄢˋ
美得冒泡,ㄇㄟˇ　˙ㄉㄜ　ㄇㄠˋ　ㄆㄠˋ
美夢成真,ㄇㄟˇ　ㄇㄥˋ　ㄔㄥˊ　ㄓㄣ
美不勝收,ㄇㄟˇ　ㄅㄨˋ　ㄕㄥ　ㄕㄡ
每下愈況,ㄇㄟˇ　ㄒㄧㄚˋ　ㄩˋ　ㄎㄨㄤˋ
每況愈下,ㄇㄟˇ　ㄎㄨㄤˋ　ㄩˋ　ㄒㄧㄚˋ
媒妁之言,ㄇㄟˊ　ㄕㄨㄛˋ　ㄓ　ㄧㄢˊ
媒體造勢,ㄇㄟˊ　ㄊㄧˇ　ㄗㄠˋ　ㄕˋ
梅花鹿,ㄇㄟˊ　ㄏㄨㄚ　ㄌㄨˋ
梅開二度,ㄇㄟˊ　ㄎㄞ　ㄦˋ　ㄉㄨˋ
眉清目秀,ㄇㄟˊ　ㄑㄧㄥ　ㄇㄨˋ　ㄒㄧㄡˋ
眉開眼笑,ㄇㄟˊ　ㄎㄞ　ㄧㄢˇ　ㄒㄧㄠˋ
眉來眼去,ㄇㄟˊ　ㄌㄞˊ　ㄧㄢˇ　ㄑㄩˋ
眉飛色舞,ㄇㄟˊ　ㄈㄟ　ㄙㄜˋ　ㄨˇ
眉目傳情,ㄇㄟˊ　ㄇㄨˋ　ㄔㄨㄢˊ　ㄑㄧㄥˊ
玫瑰花,ㄇㄟˊ　ㄍㄨㄟ　ㄏㄨㄚ
沒完沒了,ㄇㄟˊ　ㄨㄢˊ　ㄇㄟˊ　ㄌㄧㄠˇ
沒意思,ㄇㄟˊ　ㄧˋ　˙ㄙ
沒什麼,ㄇㄟˊ　ㄕㄣˊ　˙ㄇㄜ
沒著落,ㄇㄟˊ　ㄓㄨㄛˊ　ㄌㄨㄛˋ
沒出息,ㄇㄟˊ　ㄔㄨ　˙ㄒㄧ
沒主意,ㄇㄟˊ　ㄓㄨˇ　ㄧˋ
沒志氣,ㄇㄟˊ　ㄓˋ　ㄑㄧˋ
沒指望,ㄇㄟˊ　ㄓˇ　ㄨㄤˋ
沒想到,ㄇㄟˊ　ㄒㄧㄤˇ　ㄉㄠˋ
沒精打采,ㄇㄟˊ　ㄐㄧㄥ　ㄉㄚˇ　ㄘㄞˇ
沒好氣,ㄇㄟˊ　ㄏㄠˇ　ㄑㄧˋ
沒骨氣,ㄇㄟˊ　ㄍㄨˇ　ㄑㄧˋ
沒關係,ㄇㄟˊ　ㄍㄨㄢ　ㄒㄧˋ
沒來由,ㄇㄟˊ　ㄌㄞˊ　ㄧㄡˊ
沒良心,ㄇㄟˊ　ㄌㄧㄤˊ　ㄒㄧㄣ
沒頭沒腦,ㄇㄟˊ　ㄊㄡˊ　ㄇㄟˊ　ㄋㄠˇ
沒道理,ㄇㄟˊ　ㄉㄠˋ　ㄌㄧˇ
沒大沒小,ㄇㄟˊ　ㄉㄚˋ　ㄇㄟˊ　ㄒㄧㄠˇ
沒法子,ㄇㄟˊ　ㄈㄚˊ　˙ㄗ
沒辦法,ㄇㄟˊ　ㄅㄢˋ　ㄈㄚˇ
賣友求榮,ㄇㄞˋ　ㄧㄡˇ　ㄑㄧㄡˊ　ㄖㄨㄥˊ
賣人情,ㄇㄞˋ　ㄖㄣˊ　ㄑㄧㄥˊ
賣身契,ㄇㄞˋ　ㄕㄣ　ㄑㄧˋ
賣身投靠,ㄇㄞˋ　ㄕㄣ　ㄊㄡˊ　ㄎㄠˋ
賣關子,ㄇㄞˋ　ㄍㄨㄢ　˙ㄗ
賣國賊,ㄇㄞˋ　ㄍㄨㄛˊ　ㄗㄟˊ
麥芽糖,ㄇㄞˋ　ㄧㄚˊ　ㄊㄤˊ
麥克風,ㄇㄞˋ　ㄎㄜˋ　ㄈㄥ
買空賣空,ㄇㄞˇ　ㄎㄨㄥ　ㄇㄞˋ　ㄎㄨㄥ
買櫝還珠,ㄇㄞˇ　ㄉㄨˊ　ㄏㄨㄢˊ　ㄓㄨ
埋頭苦幹,ㄇㄞˊ　ㄊㄡˊ　ㄎㄨˇ　ㄍㄢˋ
默默無言,ㄇㄛˋ　ㄇㄛˋ　ㄨˊ　ㄧㄢˊ
默默無聞,ㄇㄛˋ　ㄇㄛˋ　ㄨˊ　ㄨㄣˊ
默不作聲,ㄇㄛˋ　ㄅㄨˋ　ㄗㄨㄛˋ　ㄕㄥ　（變）ㄇㄛˋ　ㄅㄨˊ　ㄗㄨㄛˋ　ㄕㄥ
墨守成規,ㄇㄛˋ　ㄕㄡˇ　ㄔㄥˊ　ㄍㄨㄟ
驀然回首,ㄇㄛˋ　ㄖㄢˊ　ㄏㄨㄟˊ　ㄕㄡˇ
漠不關心,ㄇㄛˋ　ㄅㄨˋ　ㄍㄨㄢ　ㄒㄧㄣ
莫測高深,ㄇㄛˋ　ㄘㄜˋ　ㄍㄠ　ㄕㄣ
莫須有,ㄇㄛˋ　ㄒㄩ　ㄧㄡˇ
莫衷一是,ㄇㄛˋ　ㄓㄨㄥ　ㄧ　ㄕˋ　（變）ㄇㄛˋ　ㄓㄨㄥ　ㄧˊ　ㄕˋ
莫可奈何,ㄇㄛˋ　ㄎㄜˇ　ㄋㄞˋ　ㄏㄜˊ
