字詞名,注音一式
大會師,ㄉㄚˋ　ㄏㄨㄟˋ　ㄕ
大會操,ㄉㄚˋ　ㄏㄨㄟˋ　ㄘㄠ
大會舞,ㄉㄚˋ　ㄏㄨㄟˋ　ㄨˇ
大環境,ㄉㄚˋ　ㄏㄨㄢˊ　ㄐㄧㄥˋ
大換血,ㄉㄚˋ　ㄏㄨㄢˋ　ㄒㄧㄝˇ
大紅大紫,ㄉㄚˋ　ㄏㄨㄥˊ　ㄉㄚˋ　ㄗˇ
大吉大利,ㄉㄚˋ　ㄐㄧˊ　ㄉㄚˋ　ㄌㄧˋ
大家風範,ㄉㄚˋ　ㄐㄧㄚ　ㄈㄥ　ㄈㄢˋ
大家庭,ㄉㄚˋ　ㄐㄧㄚ　ㄊㄧㄥˊ
大家樂,ㄉㄚˋ　ㄐㄧㄚ　ㄌㄜˋ
大家閨秀,ㄉㄚˋ　ㄐㄧㄚ　ㄍㄨㄟ　ㄒㄧㄡˋ
大家長,ㄉㄚˋ　ㄐㄧㄚ　ㄓㄤˇ
大家族,ㄉㄚˋ　ㄐㄧㄚ　ㄗㄨˊ
大街小巷,ㄉㄚˋ　ㄐㄧㄝ　ㄒㄧㄠˇ　ㄒㄧㄤˋ
大姐頭,ㄉㄚˋ　ㄐㄧㄝˇ　ㄊㄡˊ
大腳丫,ㄉㄚˋ　ㄐㄧㄠˇ　ㄧㄚ
大舅子,ㄉㄚˋ　ㄐㄧㄡˋ　˙ㄗ
大減價,ㄉㄚˋ　ㄐㄧㄢˇ　ㄐㄧㄚˋ
大近視眼,ㄉㄚˋ　ㄐㄧㄣˋ　ㄕˋ　ㄧㄢˇ
大進擊,ㄉㄚˋ　ㄐㄧㄣˋ　ㄐㄧˊ
大江東去,ㄉㄚˋ　ㄐㄧㄤ　ㄉㄨㄥ　ㄑㄩˋ
大將之風,ㄉㄚˋ　ㄐㄧㄤˋ　ㄓ　ㄈㄥ
大驚小怪,ㄉㄚˋ　ㄐㄧㄥ　ㄒㄧㄠˇ　ㄍㄨㄞˋ
大驚失色,ㄉㄚˋ　ㄐㄧㄥ　ㄕ　ㄙㄜˋ
大舉入侵,ㄉㄚˋ　ㄐㄩˇ　ㄖㄨˋ　ㄑㄧㄣ
大軍壓境,ㄉㄚˋ　ㄐㄩㄣ　ㄧㄚ　ㄐㄧㄥˋ
大起大落,ㄉㄚˋ　ㄑㄧˇ　ㄉㄚˋ　ㄌㄨㄛˋ
大氣層,ㄉㄚˋ　ㄑㄧˋ　ㄘㄥˊ
大氣壓,ㄉㄚˋ　ㄑㄧˋ　ㄧㄚ
大器晚成,ㄉㄚˋ　ㄑㄧˋ　ㄨㄢˇ　ㄔㄥˊ
大千世界,ㄉㄚˋ　ㄑㄧㄢ　ㄕˋ　ㄐㄧㄝˋ
大前提,ㄉㄚˋ　ㄑㄧㄢˊ　ㄊㄧˊ
大前天,ㄉㄚˋ　ㄑㄧㄢˊ　ㄊㄧㄢ
大前年,ㄉㄚˋ　ㄑㄧㄢˊ　ㄋㄧㄢˊ
大搶購,ㄉㄚˋ　ㄑㄧㄤˇ　ㄍㄡˋ
大清早,ㄉㄚˋ　ㄑㄧㄥ　ㄗㄠˇ
大圈仔,ㄉㄚˋ　ㄑㄩㄢ　ㄗㄞˇ
大權旁落,ㄉㄚˋ　ㄑㄩㄢˊ　ㄆㄤˊ　ㄌㄨㄛˋ
大權在握,ㄉㄚˋ　ㄑㄩㄢˊ　ㄗㄞˋ　ㄨㄛˋ
大西洋,ㄉㄚˋ　ㄒㄧ　ㄧㄤˊ
大喜過望,ㄉㄚˋ　ㄒㄧˇ　ㄍㄨㄛˋ　ㄨㄤˋ
大卸八塊,ㄉㄚˋ　ㄒㄧㄝˋ　ㄅㄚ　ㄎㄨㄞˋ
大小便,ㄉㄚˋ　ㄒㄧㄠˇ　ㄅㄧㄢˋ
大小不一,ㄉㄚˋ　ㄒㄧㄠˇ　ㄅㄨˋ　ㄧ
大顯身手,ㄉㄚˋ　ㄒㄧㄢˇ　ㄕㄣ　ㄕㄡˇ
大顯威風,ㄉㄚˋ　ㄒㄧㄢˇ　ㄨㄟ　ㄈㄥ
大相逕庭,ㄉㄚˋ　ㄒㄧㄤ　ㄐㄧㄥˋ　ㄊㄧㄥˊ
大興土木,ㄉㄚˋ　ㄒㄧㄥ　ㄊㄨˇ　ㄇㄨˋ
大行其道,ㄉㄚˋ　ㄒㄧㄥˊ　ㄑㄧˊ　ㄉㄠˋ
大型電腦,ㄉㄚˋ　ㄒㄧㄥˊ　ㄉㄧㄢˋ　ㄋㄠˇ
大型家電,ㄉㄚˋ　ㄒㄧㄥˊ　ㄐㄧㄚ　ㄉㄧㄢˋ
大型企業,ㄉㄚˋ　ㄒㄧㄥˊ　ㄑㄧˋ　ㄧㄝˋ
大學部,ㄉㄚˋ　ㄒㄩㄝˊ　ㄅㄨˋ
大學法,ㄉㄚˋ　ㄒㄩㄝˊ　ㄈㄚˇ
大學服,ㄉㄚˋ　ㄒㄩㄝˊ　ㄈㄨˊ
大學聯考,ㄉㄚˋ　ㄒㄩㄝˊ　ㄌㄧㄢˊ　ㄎㄠˇ
大學聯招,ㄉㄚˋ　ㄒㄩㄝˊ　ㄌㄧㄢˊ　ㄓㄠ
大學城,ㄉㄚˋ　ㄒㄩㄝˊ　ㄔㄥˊ
大學生,ㄉㄚˋ　ㄒㄩㄝˊ　ㄕㄥ
大學自治,ㄉㄚˋ　ㄒㄩㄝˊ　ㄗˋ　ㄓˋ
大學問,ㄉㄚˋ　ㄒㄩㄝˊ　ㄨㄣˋ
大學院校,ㄉㄚˋ　ㄒㄩㄝˊ　ㄩㄢˋ　ㄒㄧㄠˋ
大選區,ㄉㄚˋ　ㄒㄩㄢˇ　ㄑㄩ
大雄寶殿,ㄉㄚˋ　ㄒㄩㄥˊ　ㄅㄠˇ　ㄉㄧㄢˋ
大熊星座,ㄉㄚˋ　ㄒㄩㄥˊ　ㄒㄧㄥ　ㄗㄨㄛˋ
大致上,ㄉㄚˋ　ㄓˋ　ㄕㄤˋ
大致說來,ㄉㄚˋ　ㄓˋ　ㄕㄨㄛ　ㄌㄞˊ
大智若愚,ㄉㄚˋ　ㄓˋ　ㄖㄨㄛˋ　ㄩˊ
大製作,ㄉㄚˋ　ㄓˋ　ㄗㄨㄛˋ
大展魅力,ㄉㄚˋ　ㄓㄢˇ　ㄇㄟˋ　ㄌㄧˋ
大展鴻圖,ㄉㄚˋ　ㄓㄢˇ　ㄏㄨㄥˊ　ㄊㄨˊ
大展身手,ㄉㄚˋ　ㄓㄢˇ　ㄕㄣ　ㄕㄡˇ
大張旗鼓,ㄉㄚˋ　ㄓㄤ　ㄑㄧˊ　ㄍㄨˇ
大丈夫,ㄉㄚˋ　ㄓㄤˋ　ㄈㄨ
大專聯考,ㄉㄚˋ　ㄓㄨㄢ　ㄌㄧㄢˊ　ㄎㄠˇ
大專教育,ㄉㄚˋ　ㄓㄨㄢ　ㄐㄧㄠˋ　ㄩˋ
大專生,ㄉㄚˋ　ㄓㄨㄢ　ㄕㄥ
大專暑訓,ㄉㄚˋ　ㄓㄨㄢ　ㄕㄨˇ　ㄒㄩㄣˋ
大專院校,ㄉㄚˋ　ㄓㄨㄢ　ㄩㄢˋ　ㄒㄧㄠˋ
大轉彎,ㄉㄚˋ　ㄓㄨㄢˇ　ㄨㄢ
大眾傳媒,ㄉㄚˋ　ㄓㄨㄥˋ　ㄔㄨㄢˊ　ㄇㄟˊ
大眾化,ㄉㄚˋ　ㄓㄨㄥˋ　ㄏㄨㄚˋ
大眾捷運系統,ㄉㄚˋ　ㄓㄨㄥˋ　ㄐㄧㄝˊ　ㄩㄣˋ　ㄒㄧˋ　ㄊㄨㄥˇ
大眾傳播,ㄉㄚˋ　ㄓㄨㄥˋ　ㄔㄨㄢˊ　ㄅㄛˋ
大眾文化,ㄉㄚˋ　ㄓㄨㄥˋ　ㄨㄣˊ　ㄏㄨㄚˋ
大眾運輸,ㄉㄚˋ　ㄓㄨㄥˋ　ㄩㄣˋ　ㄕㄨ
大吃一驚,ㄉㄚˋ　ㄔ　ㄧ　ㄐㄧㄥ　（變）ㄉㄚˋ　ㄔ　ㄧˋ　ㄐㄧㄥ
大車拼,ㄉㄚˋ　ㄔㄜ　ㄆㄧㄣ
大澈大悟,ㄉㄚˋ　ㄔㄜˋ　ㄉㄚˋ　ㄨˋ
大吵大鬧,ㄉㄚˋ　ㄔㄠˇ　ㄉㄚˋ　ㄋㄠˋ
大吵一頓,ㄉㄚˋ　ㄔㄠˇ　ㄧ　ㄉㄨㄣˋ　（變）ㄉㄚˋ　ㄔㄠˇ　ㄧˊ　ㄉㄨㄣˋ
大腸桿菌,ㄉㄚˋ　ㄔㄤˊ　ㄍㄢˇ　ㄐㄩㄣˋ
大出風頭,ㄉㄚˋ　ㄔㄨ　ㄈㄥ　˙ㄊㄡ
大出鋒頭,ㄉㄚˋ　ㄔㄨ　ㄈㄥ　˙ㄊㄡ
大出血,ㄉㄚˋ　ㄔㄨ　ㄒㄧㄝˇ
大處著眼，小處著手,ㄉㄚˋ　ㄔㄨˋ　ㄓㄨㄛˊ　ㄧㄢˇ　ㄒㄧㄠˇ　ㄔㄨˋ　ㄓㄨㄛˊ　ㄕㄡˇ
大吹大擂,ㄉㄚˋ　ㄔㄨㄟ　ㄉㄚˋ　ㄌㄟˊ
大失所望,ㄉㄚˋ　ㄕ　ㄙㄨㄛˇ　ㄨㄤˋ
大師傅,ㄉㄚˋ　ㄕ　ㄈㄨˋ
大師級,ㄉㄚˋ　ㄕ　ㄐㄧˊ
大使館,ㄉㄚˋ　ㄕˇ　ㄍㄨㄢˇ
大事化小，小事化無,ㄉㄚˋ　ㄕˋ　ㄏㄨㄚˋ　ㄒㄧㄠˇ　ㄒㄧㄠˇ　ㄕˋ　ㄏㄨㄚˋ　ㄨˊ
大是大非,ㄉㄚˋ　ㄕˋ　ㄉㄚˋ　ㄈㄟ
大勢所趨,ㄉㄚˋ　ㄕˋ　ㄙㄨㄛˇ　ㄑㄩ
大勢已去,ㄉㄚˋ　ㄕˋ　ㄧˇ　ㄑㄩˋ
大舌頭,ㄉㄚˋ　ㄕㄜˊ　˙ㄊㄡ
大手筆,ㄉㄚˋ　ㄕㄡˇ　ㄅㄧˇ
大聲疾呼,ㄉㄚˋ　ㄕㄥ　ㄐㄧˊ　ㄏㄨ
大聲嚷嚷,ㄉㄚˋ　ㄕㄥ　ㄖㄤˇ　ㄖㄤˇ
大乘經典,ㄉㄚˋ　ㄕㄥˋ　ㄐㄧㄥ　ㄉㄧㄢˇ
大書特書,ㄉㄚˋ　ㄕㄨ　ㄊㄜˋ　ㄕㄨ
大人不計小人過,ㄉㄚˋ　ㄖㄣˊ　ㄅㄨˋ　ㄐㄧˋ　ㄒㄧㄠˇ　ㄖㄣˊ　ㄍㄨㄛˋ　（變）ㄉㄚˋ　ㄖㄣˊ　ㄅㄨˊ　ㄐㄧˋ　ㄒㄧㄠˇ　ㄖㄣˊ　ㄍㄨㄛˋ
大人大量,ㄉㄚˋ　ㄖㄣˊ　ㄉㄚˋ　ㄌㄧㄤˋ
大人物,ㄉㄚˋ　ㄖㄣˊ　ㄨˋ
大嚷大叫,ㄉㄚˋ　ㄖㄤˇ　ㄉㄚˋ　ㄐㄧㄠˋ
大字報,ㄉㄚˋ　ㄗˋ　ㄅㄠˋ
大自然,ㄉㄚˋ　ㄗˋ　ㄖㄢˊ
大雜燴,ㄉㄚˋ　ㄗㄚˊ　ㄏㄨㄟˋ
大雜院,ㄉㄚˋ　ㄗㄚˊ　ㄩㄢˋ
大災難,ㄉㄚˋ　ㄗㄞ　ㄋㄢˋ
大作家,ㄉㄚˋ　ㄗㄨㄛˋ　ㄐㄧㄚ
大嘴巴,ㄉㄚˋ　ㄗㄨㄟˇ　ㄅㄚ　（變）ㄉㄚˋ　ㄗㄨㄟˇ　˙ㄅㄚ
大材小用,ㄉㄚˋ　ㄘㄞˊ　ㄒㄧㄠˇ　ㄩㄥˋ
大錯特錯,ㄉㄚˋ　ㄘㄨㄛˋ　ㄊㄜˋ　ㄘㄨㄛˋ
大肆抨擊,ㄉㄚˋ　ㄙˋ　ㄆㄥ　ㄐㄧˊ
大掃除,ㄉㄚˋ　ㄙㄠˇ　ㄔㄨˊ
大嗓門,ㄉㄚˋ　ㄙㄤˇ　ㄇㄣˊ
大俗賣,ㄉㄚˋ　ㄙㄨˊ　ㄇㄞˋ
大而化之,ㄉㄚˋ　ㄦˊ　ㄏㄨㄚˋ　ㄓ
大而無當,ㄉㄚˋ　ㄦˊ　ㄨˊ　ㄉㄤˋ
大耳朵,ㄉㄚˋ　ㄦˇ　ㄉㄨㄛˇ　（變）ㄉㄚˋ　ㄦˇ　˙ㄉㄨㄛ
大異其趣,ㄉㄚˋ　ㄧˋ　ㄑㄧˊ　ㄑㄩˋ
大義滅親,ㄉㄚˋ　ㄧˋ　ㄇㄧㄝˋ　ㄑㄧㄣ
大義凜然,ㄉㄚˋ　ㄧˋ　ㄌㄧㄣˇ　ㄖㄢˊ
大夜班,ㄉㄚˋ　ㄧㄝˋ　ㄅㄢ
大搖大擺,ㄉㄚˋ　ㄧㄠˊ　ㄉㄚˋ　ㄅㄞˇ
大有來頭,ㄉㄚˋ　ㄧㄡˇ　ㄌㄞˊ　˙ㄊㄡ
大有可觀,ㄉㄚˋ　ㄧㄡˇ　ㄎㄜˇ　ㄍㄨㄢ
大有可為,ㄉㄚˋ　ㄧㄡˇ　ㄎㄜˇ　ㄨㄟˊ
大有斬獲,ㄉㄚˋ　ㄧㄡˇ　ㄓㄢˇ　ㄏㄨㄛˋ
大有助益,ㄉㄚˋ　ㄧㄡˇ　ㄓㄨˋ　ㄧˋ
大有人在,ㄉㄚˋ　ㄧㄡˇ　ㄖㄣˊ　ㄗㄞˋ
大有為,ㄉㄚˋ　ㄧㄡˇ　ㄨㄟˊ
大言不慚,ㄉㄚˋ　ㄧㄢˊ　ㄅㄨˋ　ㄘㄢˊ
大眼瞪小眼,ㄉㄚˋ　ㄧㄢˇ　ㄉㄥˋ　ㄒㄧㄠˇ　ㄧㄢˇ
大宴小酌,ㄉㄚˋ　ㄧㄢˋ　ㄒㄧㄠˇ　ㄓㄨㄛˊ
大銀幕,ㄉㄚˋ　ㄧㄣˊ　ㄇㄨˋ
大贏家,ㄉㄚˋ　ㄧㄥˊ　ㄐㄧㄚ
大無畏,ㄉㄚˋ　ㄨˊ　ㄨㄟˋ
大玩偶,ㄉㄚˋ　ㄨㄢˊ　ㄡˇ
大碗公,ㄉㄚˋ　ㄨㄢˇ　ㄍㄨㄥ
大魚大肉,ㄉㄚˋ　ㄩˊ　ㄉㄚˋ　ㄖㄡˋ
大雨傾盆,ㄉㄚˋ　ㄩˇ　ㄑㄧㄥ　ㄆㄣˊ
大躍進,ㄉㄚˋ　ㄩㄝˋ　ㄐㄧㄣˋ
大原則,ㄉㄚˋ　ㄩㄢˊ　ㄗㄜˊ
得不償失,ㄉㄜˊ　ㄅㄨˋ　ㄔㄤˊ　ㄕ
得票率,ㄉㄜˊ　ㄆㄧㄠˋ　ㄌㄩˋ
得道成仙,ㄉㄜˊ　ㄉㄠˋ　ㄔㄥˊ　ㄒㄧㄢ
得天獨厚,ㄉㄜˊ　ㄊㄧㄢ　ㄉㄨˊ　ㄏㄡˋ
得來不易,ㄉㄜˊ　ㄌㄞˊ　ㄅㄨˋ　ㄧˋ　（變）ㄉㄜˊ　ㄌㄞˊ　ㄅㄨˊ　ㄧˋ
得隴望蜀,ㄉㄜˊ　ㄌㄨㄥˇ　ㄨㄤˋ　ㄕㄨˇ
得過且過,ㄉㄜˊ　ㄍㄨㄛˋ　ㄑㄧㄝˇ　ㄍㄨㄛˋ
得心應手,ㄉㄜˊ　ㄒㄧㄣ　ㄧㄥˋ　ㄕㄡˇ
得寸進尺,ㄉㄜˊ　ㄘㄨㄣˋ　ㄐㄧㄣˋ　ㄔˇ
得意洋洋,ㄉㄜˊ　ㄧˋ　ㄧㄤˊ　ㄧㄤˊ
得意揚揚,ㄉㄜˊ　ㄧˋ　ㄧㄤˊ　ㄧㄤˊ
得意忘形,ㄉㄜˊ　ㄧˋ　ㄨㄤˋ　ㄒㄧㄥˊ
得魚忘筌,ㄉㄜˊ　ㄩˊ　ㄨㄤˋ　ㄑㄩㄢˊ
德高望重,ㄉㄜˊ　ㄍㄠ　ㄨㄤˋ　ㄓㄨㄥˋ
德國麻疹,ㄉㄜˊ　ㄍㄨㄛˊ　ㄇㄚˊ　ㄓㄣˇ
德先生,ㄉㄜˊ　ㄒㄧㄢ　ㄕㄥ
德才兼備,ㄉㄜˊ　ㄘㄞˊ　ㄐㄧㄢ　ㄅㄟˋ
呆頭呆腦,ㄉㄞ　ㄊㄡˊ　ㄉㄞ　ㄋㄠˇ
呆水位,ㄉㄞ　ㄕㄨㄟˇ　ㄨㄟˋ
呆若木雞,ㄉㄞ　ㄖㄨㄛˋ　ㄇㄨˋ　ㄐㄧ
歹路不可行,ㄉㄞˇ　ㄌㄨˋ　ㄅㄨˋ　ㄎㄜˇ　ㄒㄧㄥˊ
歹戲拖棚,ㄉㄞˇ　ㄒㄧˋ　ㄊㄨㄛ　ㄆㄥˊ
歹竹出好筍,ㄉㄞˇ　ㄓㄨˊ　ㄔㄨ　ㄏㄠˇ　ㄙㄨㄣˇ
代表作,ㄉㄞˋ　ㄅㄧㄠˇ　ㄗㄨㄛˋ
代名詞,ㄉㄞˋ　ㄇㄧㄥˊ　ㄘˊ
代代相傳,ㄉㄞˋ　ㄉㄞˋ　ㄒㄧㄤ　ㄔㄨㄢˊ
代替品,ㄉㄞˋ　ㄊㄧˋ　ㄆㄧㄣˇ
代理商,ㄉㄞˋ　ㄌㄧˇ　ㄕㄤ
代理人,ㄉㄞˋ　ㄌㄧˇ　ㄖㄣˊ
代議制,ㄉㄞˋ　ㄧˋ　ㄓˋ
代議士,ㄉㄞˋ　ㄧˋ　ㄕˋ
代言人,ㄉㄞˋ　ㄧㄢˊ　ㄖㄣˊ
黛綠年華,ㄉㄞˋ　ㄌㄩˋ　ㄋㄧㄢˊ　ㄏㄨㄚˊ
怠忽職守,ㄉㄞˋ　ㄏㄨ　ㄓˊ　ㄕㄡˇ
待機而動,ㄉㄞˋ　ㄐㄧ　ㄦˊ　ㄉㄨㄥˋ
待價而沽,ㄉㄞˋ　ㄐㄧㄚˋ　ㄦˊ　ㄍㄨ
待人接物,ㄉㄞˋ　ㄖㄣˊ　ㄐㄧㄝ　ㄨˋ
待人處世,ㄉㄞˋ　ㄖㄣˊ　ㄔㄨˇ　ㄕˋ
待人處事,ㄉㄞˋ　ㄖㄣˊ　ㄔㄨˇ　ㄕˋ
待字閨中,ㄉㄞˋ　ㄗˋ　ㄍㄨㄟ　ㄓㄨㄥ
帶分數,ㄉㄞˋ　ㄈㄣ　ㄕㄨˋ
帶動唱,ㄉㄞˋ　ㄉㄨㄥˋ　ㄔㄤˋ
帶球跑,ㄉㄞˋ　ㄑㄧㄡˊ　ㄆㄠˇ
帶球撞人,ㄉㄞˋ　ㄑㄧㄡˊ　ㄓㄨㄤˋ　ㄖㄣˊ
帶狀疱疹,ㄉㄞˋ　ㄓㄨㄤˋ　ㄆㄠˋ　ㄓㄣˇ
帶原者,ㄉㄞˋ　ㄩㄢˊ　ㄓㄜˇ
戴高帽,ㄉㄞˋ　ㄍㄠ　ㄇㄠˋ
戴罪立功,ㄉㄞˋ　ㄗㄨㄟˋ　ㄌㄧˋ　ㄍㄨㄥ
戴奧辛,ㄉㄞˋ　ㄠˋ　ㄒㄧㄣ
刀光劍影,ㄉㄠ　ㄍㄨㄤ　ㄐㄧㄢˋ　ㄧㄥˇ
刀劍無情,ㄉㄠ　ㄐㄧㄢˋ　ㄨˊ　ㄑㄧㄥˊ
刀槍不入,ㄉㄠ　ㄑㄧㄤ　ㄅㄨˋ　ㄖㄨˋ　（變）ㄉㄠ　ㄑㄧㄤ　ㄅㄨˊ　ㄖㄨˋ
刀削冰,ㄉㄠ　ㄒㄧㄠ　ㄅㄧㄥ
刀削麵,ㄉㄠ　ㄒㄧㄠ　ㄇㄧㄢˋ
叨叨絮絮,ㄉㄠ　ㄉㄠ　ㄒㄩˋ　ㄒㄩˋ
倒楣相,ㄉㄠˇ　ㄇㄟˊ　ㄒㄧㄤˋ
倒頭就睡,ㄉㄠˇ　ㄊㄡˊ　ㄐㄧㄡˋ　ㄕㄨㄟˋ
倒胃口,ㄉㄠˇ　ㄨㄟˋ　ㄎㄡˇ
搗蛋鬼,ㄉㄠˇ　ㄉㄢˋ　ㄍㄨㄟˇ
導盲磚,ㄉㄠˇ　ㄇㄤˊ　ㄓㄨㄢ
導尿管,ㄉㄠˇ　ㄋㄧㄠˋ　ㄍㄨㄢˇ
導流板,ㄉㄠˇ　ㄌㄧㄡˊ　ㄅㄢˇ
導火線,ㄉㄠˇ　ㄏㄨㄛˇ　ㄒㄧㄢˋ
導向飛彈,ㄉㄠˇ　ㄒㄧㄤˋ　ㄈㄟ　ㄉㄢˋ
到頭來,ㄉㄠˋ　ㄊㄡˊ　ㄌㄞˊ
倒不如,ㄉㄠˋ　ㄅㄨˋ　ㄖㄨˊ
倒掛金鉤,ㄉㄠˋ　ㄍㄨㄚˋ　ㄐㄧㄣ　ㄍㄡ
倒果為因,ㄉㄠˋ　ㄍㄨㄛˇ　ㄨㄟˊ　ㄧㄣ
倒行逆施,ㄉㄠˋ　ㄒㄧㄥˊ　ㄋㄧˋ　ㄕ
倒裝句,ㄉㄠˋ　ㄓㄨㄤ　ㄐㄩˋ
倒吃甘蔗,ㄉㄠˋ　ㄔ　ㄍㄢ　ㄓㄜˋ
倒抽一口氣,ㄉㄠˋ　ㄔㄡ　ㄧ　ㄎㄡˇ　ㄑㄧˋ　（變）ㄉㄠˋ　ㄔㄡ　ㄧˋ　ㄎㄡˇ　ㄑㄧˋ
倒數計時,ㄉㄠˋ　ㄕㄨˇ　ㄐㄧˋ　ㄕˊ
倒栽蔥,ㄉㄠˋ　ㄗㄞ　ㄘㄨㄥ
道不同，不相為謀,ㄉㄠˋ　ㄅㄨˋ　ㄊㄨㄥˊ　ㄅㄨˋ　ㄒㄧㄤ　ㄨㄟˊ　ㄇㄡˊ
道貌岸然,ㄉㄠˋ　ㄇㄠˋ　ㄢˋ　ㄖㄢˊ
道德觀,ㄉㄠˋ　ㄉㄜˊ　ㄍㄨㄢ
道德哲學,ㄉㄠˋ　ㄉㄜˊ　ㄓㄜˊ　ㄒㄩㄝˊ
道道地地,ㄉㄠˋ　ㄉㄠˋ　ㄉㄧˋ　ㄉㄧˋ
道聽塗說,ㄉㄠˋ　ㄊㄧㄥ　ㄊㄨˊ　ㄕㄨㄛ
道林紙,ㄉㄠˋ　ㄌㄧㄣˊ　ㄓˇ
道路網,ㄉㄠˋ　ㄌㄨˋ　ㄨㄤˇ
道高一尺，魔高一丈,ㄉㄠˋ　ㄍㄠ　ㄧ　ㄔˇ　ㄇㄛˊ　ㄍㄠ　ㄧ　ㄓㄤˋ　（變）ㄉㄠˋ　ㄍㄠ　ㄧˋ　ㄔˇ　ㄇㄛˊ　ㄍㄠ　ㄧˊ　ㄓㄤˋ
道義責任,ㄉㄠˋ　ㄧˋ　ㄗㄜˊ　ㄖㄣˋ
稻熱病,ㄉㄠˋ　ㄖㄜˋ　ㄅㄧㄥˋ
稻草人,ㄉㄠˋ　ㄘㄠˇ　ㄖㄣˊ
抖起來,ㄉㄡˇ　ㄑㄧˇ　ㄌㄞˊ
豆蔻年華,ㄉㄡˋ　ㄎㄡˋ　ㄋㄧㄢˊ　ㄏㄨㄚˊ
豆芽菜,ㄉㄡˋ　ㄧㄚˊ　ㄘㄞˋ
荳蔻年華,ㄉㄡˋ　ㄎㄡˋ　ㄋㄧㄢˊ　ㄏㄨㄚˊ
鬥牛陣,ㄉㄡˋ　ㄋㄧㄡˊ　ㄓㄣˋ
鬥牛士,ㄉㄡˋ　ㄋㄧㄡˊ　ㄕˋ
鬥雞眼,ㄉㄡˋ　ㄐㄧ　ㄧㄢˇ
鬥蟋蟀,ㄉㄡˋ　ㄒㄧ　ㄕㄨㄞˋ
鬥志高昂,ㄉㄡˋ　ㄓˋ　ㄍㄠ　ㄤˊ
單方面,ㄉㄢ　ㄈㄤ　ㄇㄧㄢˋ
單打獨鬥,ㄉㄢ　ㄉㄚˇ　ㄉㄨˊ　ㄉㄡˋ
單刀直入,ㄉㄢ　ㄉㄠ　ㄓˊ　ㄖㄨˋ
單淘汰,ㄉㄢ　ㄊㄠˊ　ㄊㄞˋ
單寧酸,ㄉㄢ　ㄋㄧㄥˊ　ㄙㄨㄢ
單口相聲,ㄉㄢ　ㄎㄡˇ　ㄒㄧㄤˋ　ㄕㄥ
單機作業,ㄉㄢ　ㄐㄧ　ㄗㄨㄛˋ　ㄧㄝˋ
單親家庭,ㄉㄢ　ㄑㄧㄣ　ㄐㄧㄚ　ㄊㄧㄥˊ
單槍匹馬,ㄉㄢ　ㄑㄧㄤ　ㄆㄧ　ㄇㄚˇ
單線進行,ㄉㄢ　ㄒㄧㄢˋ　ㄐㄧㄣˋ　ㄒㄧㄥˊ
單相思,ㄉㄢ　ㄒㄧㄤ　ㄙ
單行法,ㄉㄢ　ㄒㄧㄥˊ　ㄈㄚˇ
單行法規,ㄉㄢ　ㄒㄧㄥˊ　ㄈㄚˇ　ㄍㄨㄟ
單行道,ㄉㄢ　ㄒㄧㄥˊ　ㄉㄠˋ
單循環賽,ㄉㄢ　ㄒㄩㄣˊ　ㄏㄨㄢˊ　ㄙㄞˋ
單車旅行,ㄉㄢ　ㄔㄜ　ㄌㄩˇ　ㄒㄧㄥˊ
單程票,ㄉㄢ　ㄔㄥˊ　ㄆㄧㄠˋ
單身貴族,ㄉㄢ　ㄕㄣ　ㄍㄨㄟˋ　ㄗㄨˊ
單身漢,ㄉㄢ　ㄕㄣ　ㄏㄢˋ
單人房,ㄉㄢ　ㄖㄣˊ　ㄈㄤˊ
單人床,ㄉㄢ　ㄖㄣˊ　ㄔㄨㄤˊ
單眼皮,ㄉㄢ　ㄧㄢˇ　ㄆㄧˊ
單眼相機,ㄉㄢ　ㄧㄢˇ　ㄒㄧㄤˋ　ㄐㄧ
單元劇,ㄉㄢ　ㄩㄢˊ　ㄐㄩˋ
簞食瓢飲,ㄉㄢ　ㄙˋ　ㄆㄧㄠˊ　ㄧㄣˋ
擔保權,ㄉㄢ　ㄅㄠˇ　ㄑㄩㄢˊ
擔驚受怕,ㄉㄢ　ㄐㄧㄥ　ㄕㄡˋ　ㄆㄚˋ
膽大包天,ㄉㄢˇ　ㄉㄚˋ　ㄅㄠ　ㄊㄧㄢ
膽大心細,ㄉㄢˇ　ㄉㄚˋ　ㄒㄧㄣ　ㄒㄧˋ
膽大妄為,ㄉㄢˇ　ㄉㄚˋ　ㄨㄤˋ　ㄨㄟˊ
膽固醇,ㄉㄢˇ　ㄍㄨˋ　ㄔㄨㄣˊ
膽小鬼,ㄉㄢˇ　ㄒㄧㄠˇ　ㄍㄨㄟˇ
淡泊名利,ㄉㄢˋ　ㄅㄛˊ　ㄇㄧㄥˊ　ㄌㄧˋ
淡水河,ㄉㄢˋ　ㄕㄨㄟˇ　ㄏㄜˊ
淡水湖,ㄉㄢˋ　ㄕㄨㄟˇ　ㄏㄨˊ
淡水魚,ㄉㄢˋ　ㄕㄨㄟˇ　ㄩˊ
淡然處之,ㄉㄢˋ　ㄖㄢˊ　ㄔㄨˇ　ㄓ
淡然無味,ㄉㄢˋ　ㄖㄢˊ　ㄨˊ　ㄨㄟˋ
蛋白質,ㄉㄢˋ　ㄅㄞˊ　ㄓˊ
